Id,Community
66935683,0
93115683,2
950824252562903040,4
97219875,4
145607857,0
194516930,1
19760270,0
389313566,1
89732309,1
1111842672220819456,0
4789453135,0
1269258001,0
37168231,0
375369317,0
1246035397198528515,0
233199034,0
356367350,0
797673785268715521,0
1218781036898705408,0
143388401,0
1110805057,0
106081433,0
463553347,0
1045835428287385600,0
942802400,1
979273137136300032,0
141111844,0
765535468104585217,0
1121279474073362432,0
19897138,0
120737021,0
119048275,0
142238984,0
3638215945,0
753131004483760129,0
25095205,3
2887798966,0
751400048,0
98925318,0
2467791,2
350502624,0
18071358,0
3149398118,0
3291691,2
108006063,0
2892809359,0
12104642,0
119037578,0
721992033921990656,0
2333630101,0
841609973687762944,0
43384673,0
2447086974,0
825243162201448448,0
1911516824,0
231033118,0
18160362,0
1419020654,0
1387173836,0
6509832,0
826734320018661378,0
962988506,0
346406417,0
353225707,0
101719346,0
17670329,0
1858339356,0
14072047,0
263793754,0
48924841,0
26719898,5
631810714,0
77010227,0
1244892413262311425,0
147537589,0
1056973148044709888,0
3059632987,0
1354702453,0
1156445533025767424,0
384721399,0
1056850669,0
44900754,0
60937837,0
953531755138437120,0
245284856,0
1652541,2
56685329,0
362506755,1
15076053,0
287506141,0
43855487,2
982411422905778176,0
40596411,0
101779040,0
987383070,0
5402612,2
106513394,0
245271690,0
81582883,0
14353202,5
784351656355897344,4
804667111851356160,0
2570642840,0
2219225070,0
24059402,0
45874278,2
2686770528,0
3747691152,0
794958848725372928,0
102268884,0
312790865,0
7424642,2
28785486,2
451301758,0
277899008,0
1148030178,0
290180065,2
94530194,0
107404025,0
17673635,0
68927629,0
120350623,0
4914384040,3
878261831629815810,0
47646735,2
14173315,2
2215504453,0
108252113,1
1339835893,2
24857905,1
1164940374374330368,2
487118986,2
827185873301037056,0
742143,2
249524839,0
562164552,0
141633175,0
1253665449008562178,5
284920800,0
59026323,0
86743314,0
1240561169296814080,0
4264422434,0
2410732195,0
54436268,0
6134882,2
60843563,0
37365807,1
2877839294,0
1305509934797217792,1
1088949722,1
1277255526028464128,0
964607168992329728,1
2217408934,0
58242871,0
380648579,2
2262532860,0
282050428,0
755672251832217602,0
763681403821109248,1
75311070,1
1257597632450457600,3
2277402223,0
57947582,1
990577808928886784,1
1146329871418843136,5
1323730225067339784,2
157981564,5
2987671552,2
31310158,2
193045008,5
96900937,2
10926202,3
1394079906,0
1100720220832882688,0
1316308173955895296,1
3150940290,1
17469289,2
40616820,0
25562183,2
1255393579507351554,2
1535706559,0
912140384834289665,0
15438913,2
15954704,2
380285402,2
18548529,1
86626845,2
1199628598509858816,0
41765544,0
18667907,2
7744592,2
1010593116,2
1240730989992673280,3
1247824448348012544,0
551426814,5
584069282,0
8775672,2
936078120,2
973840117,6
808451126,1
15808647,2
931260588,1
51241574,2
1201519638380724224,1
3903318556,1
20878297,3
151432737,1
820452522494226433,2
94761188,0
19658826,2
34713362,2
51752944,2
17710740,0
935142655213703168,1
1111567384148692993,5
11686132,0
56627441,1
38400130,7
1174297440003993601,3
20402945,2
22677397,3
2301990517,3
24733117,2
292929271,3
3932768472,3
4970411,2
87679233,3
923643522,2
93241358,3
2476130260,5
43878033,5
216299334,5
1107295949703901185,1
281357486,1
886576262537465856,1
34262462,2
883249917069713409,0
804680472,2
1249319185064153088,1
170254080,2
91882544,3
259725229,0
36042554,2
87818409,2
56312411,1
1401726968,1
48706493,1
19825835,5
7587032,2
242827267,3
1039883660319752192,5
1114969954951020545,5
2441666255,5
302938456,5
3314652765,5
729795376438464512,5
742321348664557568,5
91870534,5
241684668,2
506429053,2
7745472,2
3830657255,1
1305156978109374465,1
3419251203,2
10215212,2
1352064843432472578,2
174263807,5
264356595,2
37963496,5
45586617,2
803694179079458816,2
14281853,5
62576309,5
146569971,2
426909329,2
2985479932,2
18956073,2
15012486,2
52810218,1
917416223541022720,5
20457806,2
346680340,6
42210513,6
610659001,2
15448383,7
2811559122,7
25387183,2
146513211,5
872258602786017281,6
1293113010941296640,2
17134268,2
376819013,4
50393960,2
26574283,2
24261916,2
11347122,2
455684839,2
1194962714,2
18379614,3
20729667,3
25409870,3
487297085,3
745540429,3
786568723477897216,3
42958829,2
23544268,2
87416722,5
394087611,2
913035902171017218,0
2233154425,2
22771961,2
286520757,1
567289542,0
170699708,2
1480749782,5
132945170,2
149282848,3
19038934,2
3108351,2
942156122,2
447895686,6
576436187,2
991940041,2
549308627,2
428333,2
154521314,1
233364902,2
1093695069176000512,2
1277094794641235973,1
68412042,2
870535057,2
2391585170,0
4126501,1
1262695055153717249,1
995328305279549440,1
18856867,3
44728980,7
33915298,1
857659736828674052,1
1769551,2
951165164,1
1254474637,1
1112987812503212032,1
111564456,1
1228541238845923328,1
140398355,1
18812572,2
1080894931311431682,3
7309052,2
16973333,2
807095,2
711750460932141056,2
2097571,2
1290191301791617024,4
247217109,4
817676978639749120,4
77520998,1
14700117,5
252794509,2
2353605901,3
407440890,3
