Id,Community,retweeted_screen_name,Text,Time
75193964,0,DinTri,"RT @DinTri: A true leader , leads from the front! This is ATMANIRBHAR , ATMAVISHWAS .",2021-03-01T07:05:37.000Z
17741799,0,UnSubtleDesi,"RT @UnSubtleDesi: Assamese gamosa, South-Indian nurse and Bharat-made COVAXIN

PM Modi’s vaccine symbolism is bound to burn ‘liberals' ...…",2021-03-01T08:11:24.000Z
1112714156887543808,0,PBNS_India,"RT @PBNS_India: Sister P Niveda, from Puducherry, and another sister from Kerala who administered the first dose of the Covid-19 vaccine to…",2021-03-01T04:41:20.000Z
75489786,0,vijai63,RT @vijai63: .@sardesairajdeep now saying that PM Modiji should have broken a queue and take vaccine one month earlier. (So that he get opp…,2021-03-01T16:53:31.000Z
1349124297034498049,0,reachind_USACAN,"RT @reachind_USACAN: #Indians at 🇮🇳🇨🇦 friendship rally being assaulted by “Khali Stani” goons on streets of Brampton.
FYI @PeelPolice @sang…",2021-03-01T19:16:56.000Z
2596143056,0,MoHFW_INDIA,"RT @MoHFW_INDIA: #LargestVaccineDrive

Registration and booking for appointment for #COVID19 Vaccination is to be done through #CoWIN Porta…",2021-03-01T05:48:19.000Z
50944856,0,smitaprakash,RT @smitaprakash: The Indian made vaccine. Yup!,2021-03-01T02:27:32.000Z
105130840,0,jitengajaria,"RT @jitengajaria: PM has sent 3 strong messages today

1. Vaccines are safe.
2. Trust 'Made in India' vaccine.
3. PM is a common citizen.",2021-03-01T04:57:28.000Z
125672370,0,AparBharat,"RT @AparBharat: Let me educate this illiterate Shivsainik @Raja_Africa

All the states will get vaccines at nominal fee, now it depends on…",2021-03-01T12:31:41.000Z
18373968,0,MinhazMerchant,RT @MinhazMerchant: Possibly the most foolish tweet of the day,2021-03-01T17:15:20.000Z
198030688,0,alok_bhatt,RT @alok_bhatt: There is no dearth of folks who will doubt the claim abt Covax- so unke liye ye video https://t.co/h8ufkgLX0f,2021-03-01T03:06:29.000Z
215685563,0,ashwani_mahajan,"RT @ashwani_mahajan: And he became the brand ambassador for purely swadeshi vaccine, that is, Covaxin made by @BharatBiotech My take on eff…",2021-03-01T06:35:34.000Z
29398579,0,prasannavishy,RT @prasannavishy: Thank you so much sir for your leadership and consistency in messaging during the pandemic.,2021-03-01T05:13:04.000Z
3018719294,0,JMehta65,"RT @JMehta65: .@blsanthosh ji, When millions are applauding @narendramodi ji for taking the jab, why do we have people like @ARanganathan72…",2021-03-01T19:27:47.000Z
303783976,0,CTRavi_BJP,"RT @CTRavi_BJP: ✓ No jumping the queue
✓ Follow the set protocol
✓ Visit a hospital like any other person
✓ Trust the healthcare profession…",2021-03-01T05:07:18.000Z
438525539,0,Being_Humor,RT @Being_Humor: Haha @udaykotak said exactly opposite of what @ndtv has tweeted.. How can lie this openly @SreenivasanJain ? Atleast put d…,2021-03-01T12:42:50.000Z
77509999,0,sunandavashisht,RT @sunandavashisht: And PM of largest democracy leads by example. Waits for his turn and is the first one to get it when his category open…,2021-03-01T01:57:00.000Z
1487431723,0,atulahuja_,RT @atulahuja_: Congress National Spokesperson spreading Fake News. Unreal propaganda against Covid-19 vaccination drive. https://t.co/xgCs…,2021-03-01T13:54:49.000Z
207809313,0,BJP4India,RT @BJP4India: PM @narendramodi took an early morning drive to AIIMS in New Delhi today without disturbing normal traffic. He filled the re…,2021-03-01T15:04:25.000Z
817976607398731776,0,ani_digital,"RT @ani_digital: PM Modi addresses vaccine hesitancy, gets Bharat Biotech's Covaxin jab

Read @ANI Story | https://t.co/QqiiFdcwEo https://…",2021-03-01T03:27:13.000Z
834833150,0,swamisaranamm,"RT @swamisaranamm: PM Sh @NarendraModi chose early morning hours to take COVID vaccination. No traffic stopped. Traveled normally, filled f…",2021-03-01T13:25:27.000Z
283632721,0,smitabarooah,"RT @smitabarooah: Big day for India as another phase of the battle against #COVID19 starts. 

From “Why are we using a new vaccine so soon?…",2021-03-01T04:28:48.000Z
36327407,0,htTweets,"RT @htTweets: The second phase of India’s vaccination drive against #Covid19 begins today

Here's how you can register yourself for the pro…",2021-03-01T06:20:52.000Z
134758540,0,timesofindia,"RT @timesofindia: Chinese hackers target Indian vaccine makers Serum Institute, Bharat Biotech: Security firm 

https://t.co/YhuPcPwHKB",2021-03-01T16:29:24.000Z
165506153,0,buzzindelhi,"RT @buzzindelhi: You can use AarogyaSetu app to register on the CoWin platform, for the vaccine appointment https://t.co/pVedQfm96d",2021-03-01T16:29:33.000Z
385660566,0,elmihiro,RT @elmihiro: Give me one good reason why the likes of Vidya Krishnan shouldn’t be held criminally liable for every death that occurs becau…,2021-03-01T16:11:58.000Z
1591419488,0,zafarsareshwala,RT @zafarsareshwala: PM ⁦@narendramodi⁩ ji taking the Vaccine Jab and that too of #BharatBiotech rests and dispels all doubts about Indian…,2021-03-01T03:27:33.000Z
2686834802,0,mygovindia,RT @mygovindia: ATTENTION! You can register for #COVID19 Vaccination only through the #CoWIN Portal: https://t.co/G4e2WXWB9X. There is NO #…,2021-03-01T07:18:01.000Z
46645746,0,pranavmahajan,RT @pranavmahajan: Losers searching for a new propaganda against vaccine after #PMModi gets vaccine.,2021-03-01T06:20:20.000Z
937664212511309827,0,meggi_07,"RT @meggi_07: PM #NarendraModi took his first dose of the #COVID19 #Vaccine at AIIMS Delhi today.
He led the way in #AatmanirbharBharat dri…",2021-03-01T04:05:33.000Z
158588740,0,shahfaesal,"RT @shahfaesal: This is more than just a vaccination program. 

It's good governance + human capital formation + nation building + India as…",2021-03-01T06:44:54.000Z
54936590,0,BSYBJP,RT @BSYBJP: PM @narendramodi Ji got the first  dose of Covid-19 vaccine this morning. My appeal to all Corona warriors who are yet to get t…,2021-03-01T02:28:39.000Z
804003606001106944,0,adeshguptabjp,"RT @adeshguptabjp: PM @narendramodi ji took his first dose of COVID-19 vaccine at AIIMS. 

He continues to lead from the front in the globa…",2021-03-01T05:36:10.000Z
42043572,0,_pallavighosh,RT @_pallavighosh: PM @narendramodi took the COVID vaccine - sisters Niveda and rosamma Anil https://t.co/g2UKGcGeuW,2021-03-01T05:49:06.000Z
111872402,0,vivekanandg,"RT @vivekanandg: A leader leads, follows rules and encourage it's countrymen to appreciate the remarkable work of  our scientists, doctors.…",2021-03-01T03:40:47.000Z
1642669674,0,girirajsinghbjp,"RT @girirajsinghbjp: A leader is the one to guide in a crisis.
Hon. Prime Minister Shri @narendramodi ji has inspired millions of Indians t…",2021-03-01T03:36:29.000Z
